solver,n_cells_or_triangles,n_steps,t_sim_s,wall_clock_s,wall_per_sim_s,mcell_steps_per_s
hydroflux,4000,343,8,1.064726,0.133091,1.288595
ANUGA,16000,2,8.0,6.910127,0.863766,0.004631
