x,h_analytical,h_sim
53.1250,0.340498,0.344059
53.3750,0.332780,0.336311
53.6250,0.325150,0.328655
53.8750,0.317608,0.321090
54.1250,0.310155,0.313615
54.3750,0.302791,0.306226
54.6250,0.295515,0.298926
54.8750,0.288327,0.291714
55.1250,0.281228,0.284593
55.3750,0.274218,0.277561
55.6250,0.267296,0.270617
55.8750,0.260462,0.263761
56.1250,0.253717,0.256992
56.3750,0.247060,0.250311
56.6250,0.240492,0.243718
56.8750,0.234013,0.237213
57.1250,0.227621,0.230797
57.3750,0.221319,0.224468
57.6250,0.215105,0.218226
57.8750,0.208979,0.212072
58.1250,0.202942,0.206004
58.3750,0.196993,0.200023
58.6250,0.191133,0.194129
58.8750,0.185361,0.188321
59.1250,0.179678,0.182601
59.3750,0.174083,0.176968
59.6250,0.168577,0.171421
59.8750,0.163159,0.165960
60.1250,0.157830,0.160585
60.3750,0.152589,0.155295
60.6250,0.147437,0.150090
60.8750,0.142373,0.144971
61.1250,0.137398,0.139937
61.3750,0.132511,0.134989
61.6250,0.127712,0.130126
61.8750,0.123002,0.125349
62.1250,0.118381,0.120656
62.3750,0.113848,0.116046
62.6250,0.109404,0.111521
62.8750,0.105048,0.107079
63.1250,0.100780,0.102721
63.3750,0.096601,0.098447
63.6250,0.092511,0.094256
63.8750,0.088509,0.090149
64.1250,0.084595,0.086126
64.3750,0.080770,0.082186
64.6250,0.077034,0.078329
64.8750,0.073386,0.074556
65.1250,0.069826,0.070865
65.3750,0.066355,0.067257
65.6250,0.062973,0.063733
65.8750,0.059679,0.060293
66.1250,0.056473,0.056933
66.3750,0.053356,0.053649
66.6250,0.050327,0.050442
66.8750,0.047387,0.047311
67.1250,0.044535,0.044260
67.3750,0.041772,0.041301
67.6250,0.039098,0.038450
67.8750,0.036511,0.035729
68.1250,0.034014,0.033152
68.3750,0.031604,0.030710
68.6250,0.029284,0.028351
68.8750,0.027051,0.025979
69.1250,0.024908,0.023460
69.3750,0.022852,0.020571
69.6250,0.020886,0.017071
69.8750,0.019007,0.012824
70.1250,0.017217,0.008323
70.3750,0.015516,0.004980
70.6250,0.013903,0.002756
70.8750,0.012379,0.001383
71.1250,0.010943,0.000612
71.3750,0.009596,0.000226
71.6250,0.008337,0.000064
71.8750,0.007166,0.000018
72.1250,0.006084,0.000002
72.3750,0.005091,0.000000
72.6250,0.004186,0.000000
72.8750,0.003370,0.000000
73.1250,0.002642,0.000000
73.3750,0.002002,0.000000
73.6250,0.001451,0.000000
73.8750,0.000989,0.000000
74.1250,0.000615,0.000000
74.3750,0.000329,0.000000
74.6250,0.000132,0.000000
74.8750,0.000023,0.000000
75.1250,0.000000,0.000000
75.3750,0.000000,0.000000
75.6250,0.000000,0.000000
